id,category,question,answer,keywords,is_dynamic,needs_admin_confirmation
faq_001,harga,Berapa harga sewa kamar kost per bulan?,"Harga kamar tergantung tipe dan lokasi. Secara umum kamar mandi dalam mulai sekitar Rp1.500.000 per bulan, sedangkan kamar mandi luar mulai sekitar Rp1.000.000 per bulan. Untuk ketersediaan dan harga per lokasi, bisa dicek dari data kamar terbaru ya kak.","harga,sewa,biaya,tarif,kamar mandi dalam,kamar mandi luar",FALSE,FALSE
faq_002,tipe_kamar,Ada tipe kamar apa saja?,"Tipe kamar tergantung rumah/lokasi, kak. Umumnya tersedia kamar mandi dalam dan kamar mandi luar.","tipe kamar,jenis kamar,kamar mandi dalam,kamar mandi luar",FALSE,FALSE
faq_003,deposit,Apakah ada deposit atau uang jaminan?,"Ada deposit jaminan Rp500.000, kak. Deposit ditahan selama masa kost dan bisa dipotong jika ada kerusakan atau barang kost yang hilang.","deposit,jaminan,uang jaminan,500 ribu,500rb",FALSE,FALSE
faq_004,fasilitas,Fasilitas kost apa saja?,"Fasilitas kost termasuk AC, internet/WiFi, dapur bersama, kulkas bersama, akses fingerprint, dan listrik token bayar sendiri, kak.","fasilitas,ac,wifi,internet,dapur,kulkas,fingerprint,listrik token",FALSE,FALSE
faq_005,fasilitas,Apakah kamar sudah ada AC?,"Iya kak, kamar tersedia fasilitas AC.","ac,air conditioner,pendingin,fasilitas ac",FALSE,FALSE
faq_006,fasilitas,Apakah ada WiFi atau internet?,"Iya kak, tersedia internet/WiFi di kost.","wifi,internet,wi-fi,jaringan,online",FALSE,FALSE
faq_007,fasilitas,Apakah ada water heater?,"Water heater hanya tersedia untuk kamar mandi dalam, kak.","water heater,air panas,pemanas air,kamar mandi dalam",FALSE,FALSE
faq_008,fasilitas,Apakah ada dapur bersama?,"Iya kak, tersedia dapur bersama untuk penghuni kost.","dapur,dapur bersama,masak,memasak",FALSE,FALSE
faq_009,fasilitas,Apakah ada kulkas bersama?,"Iya kak, tersedia kulkas bersama untuk penghuni kost.","kulkas,kulkas bersama,refrigerator,menyimpan makanan",FALSE,FALSE
faq_010,listrik,Apakah listrik sudah termasuk harga sewa?,"Listrik menggunakan token dan dibayar sendiri oleh penghuni, kak.","listrik,token,token listrik,bayar listrik,biaya listrik",FALSE,FALSE
faq_011,keamanan,Apakah akses kost menggunakan fingerprint?,"Iya kak, akses kost menggunakan fingerprint access.","fingerprint,akses,keamanan,kunci,pintu",FALSE,FALSE
faq_012,kapasitas,Satu kamar boleh diisi berapa orang?,"Kapasitas kamar hanya untuk 1 orang, kak.","kapasitas,1 orang,satu orang,berdua,share kamar",FALSE,FALSE
faq_013,aturan,Apakah kost menerima pasutri?,"Mohon maaf kak, kost tidak menerima pasutri.","pasutri,suami istri,pasangan menikah,berdua",FALSE,FALSE
faq_014,aturan_tamu,Apakah lawan jenis boleh masuk kamar?,Tidak boleh kak. Lawan jenis dilarang masuk kamar atau menginap.,"lawan jenis,cowok,cewek,pacar,masuk kamar,menginap",FALSE,FALSE
faq_015,aturan_tamu,Apakah boleh membawa tamu?,"Boleh bertamu maksimal sampai jam 9 malam di ruang tamu, kak. Tamu tidak boleh masuk kamar jika lawan jenis.","tamu,bertamu,jam tamu,ruang tamu,jam 9 malam",FALSE,FALSE
faq_016,aturan_tamu,Apakah orang tua atau teman boleh menginap?,"Orang tua atau teman boleh menginap dengan biaya Rp100.000 per hari, tapi tidak boleh lawan jenis ya kak.","ortu,orang tua,teman menginap,menginap,100 ribu,100rb",FALSE,FALSE
faq_017,aturan_tamu,Apakah pacar boleh menginap?,Tidak boleh kak. Lawan jenis dilarang masuk kamar atau menginap.,"pacar,menginap,lawan jenis,nginep,pasangan",FALSE,FALSE
faq_018,aturan,Apakah boleh membawa binatang peliharaan?,"Tidak boleh kak, penghuni dilarang membawa binatang peliharaan.","binatang,hewan,peliharaan,kucing,anjing,pet",FALSE,FALSE
faq_019,deposit,Bagaimana jika ada barang kost rusak atau hilang?,"Jika ada barang properti kost yang rusak atau hilang, biayanya akan dipotong dari deposit yang ada, kak.","rusak,barang hilang,properti,potong deposit,kerusakan",FALSE,FALSE
faq_020,aturan,Apakah boleh berkelahi dengan sesama penghuni kost?,Tidak boleh kak. Penghuni dilarang berkelahi dengan sesama anak kost.,"berkelahi,ribut,konflik,sesama penghuni,anak kost",FALSE,FALSE
faq_021,aturan,Apakah boleh menyetrika di atas kasur?,Tidak boleh kak. Jangan setrika di atas kasur karena kasur tidak tahan panas dan bisa menyebabkan deposit dipotong untuk penggantian.,"setrika,kasur,sprei,panas,deposit",FALSE,FALSE
faq_022,aturan,Apakah boleh memaku pintu atau tembok?,"Tidak boleh kak. Dilarang memaku pintu atau tembok. Kalau ingin memasang gantungan, gunakan gantungan baju yang berperekat.","paku,memaku,tembok,pintu,gantungan,perekat",FALSE,FALSE
faq_023,aturan,Apakah boleh merokok di kamar?,Tidak boleh kak. Merokok dilarang di dalam kamar dan area umum. Merokok hanya boleh di luar atau balkon.,"merokok,rokok,smoking,kamar,area umum,balkon",FALSE,FALSE
faq_024,parkir,Apakah boleh parkir di depan rumah tetangga?,"Tidak boleh kak. Dilarang parkir di depan rumah tetangga, dan kerusakan akibat sembarang parkir bukan tanggung jawab kost.","parkir,tetangga,depan rumah,motor,mobil,sembarang parkir",FALSE,FALSE
faq_025,aturan,Apakah boleh meletakkan barang di luar kamar?,Tidak boleh kak. Barang yang diletakkan di luar kamar akan dianggap tidak terpakai dan bisa disingkirkan karena mengganggu kenyamanan kost.,"barang,luar kamar,koridor,meletakkan barang,disingkirkan",FALSE,FALSE
faq_026,dapur,Apakah peralatan makan dan masak harus dicuci sendiri?,"Iya kak, peralatan makan dan masak wajib dicuci sendiri setelah dipakai.","peralatan makan,peralatan masak,cuci piring,dapur,dicuci sendiri",FALSE,FALSE
faq_027,aturan,Apakah boleh membuat gaduh atau berisik?,Tidak boleh kak. Penghuni dilarang membuat gaduh atau berisik sampai mengganggu kenyamanan penghuni lain.,"gaduh,berisik,ribut,suara,mengganggu,kenyamanan",FALSE,FALSE
faq_028,laundry,Apakah boleh menggunakan mesin cuci milik kost?,"Tidak boleh kak, penghuni dilarang menggunakan mesin cuci milik kost.","mesin cuci,laundry,cuci baju,mencuci",FALSE,FALSE
faq_029,dapur,Apakah boleh memasak di kost?,"Boleh memasak ringan seperti Indomie dan telur, kak. Memasak berat atau masakan berbau tidak diperbolehkan.","masak,memasak,indomie,telur,masak ringan,masak berat,bau",FALSE,FALSE
faq_030,dapur,Bagaimana aturan gas untuk dapur bersama?,"Jatah gas 1 bulan adalah 1 tabung, kak. Kalau habis, penghuni bisa patungan bersama anak kost lain.","gas,tabung gas,jatah gas,patungan,dapur",TRUE,FALSE
faq_031,air,Apa yang harus dilakukan jika ada kebocoran air?,"Jika melihat kebocoran air di closet, shower, atau wastafel, penghuni wajib segera lapor agar bisa diperbaiki, kak.","air bocor,kebocoran,closet,shower,wastafel,lapor",FALSE,FALSE
faq_032,air,Bagaimana jika penghuni lalai melaporkan kebocoran air?,"Jika penghuni lalai melaporkan kebocoran dan menyebabkan tagihan air melonjak, kelebihan biaya dari biasanya akan dibebankan ke penghuni, kak.","kebocoran air,tagihan air,lalai,biaya air,melonjak",FALSE,FALSE
faq_033,pembayaran,Apakah ada denda jika terlambat membayar sewa kost?,Ada kak. Terlambat pembayaran sewa kost dikenakan denda Rp50.000 per hari.,"telat bayar,terlambat,denda,50 ribu,50rb,pembayaran",FALSE,FALSE
faq_034,checkout,Bagaimana aturan jika tidak memperpanjang kost?,"Jika tidak memperpanjang kost, wajib info 1 bulan sebelumnya ya kak.","tidak memperpanjang,berhenti kost,keluar kost,info 1 bulan,notice",FALSE,FALSE
faq_035,checkout,Jam berapa maksimal check-out dari kost?,"Check-out maksimal jam 12 siang, kak. Jika lebih dari jam 12 siang, dianggap extend dan dikenakan charge Rp100.000 per hari.","check out,checkout,keluar kost,jam 12,extend,100 ribu",FALSE,FALSE
faq_036,ketersediaan,Apakah masih ada kamar kosong?,"Untuk ketersediaan kamar, sistem akan mengecek data rooms_public terbaru. Jika tidak ada data yang cocok, perlu dicek dulu dengan admin ya kak.","kamar kosong,tersedia,available,masih ada,ready,slot",TRUE,TRUE
faq_037,checkin,Apakah bisa masuk atau check-in hari ini?,"Untuk jadwal masuk atau check-in perlu dicek dulu dengan admin ya kak, karena tergantung ketersediaan kamar.","check in,check-in,masuk hari ini,masuk besok,tanggal masuk",TRUE,TRUE
faq_038,aturan,Apakah kost boleh untuk dua orang dalam satu kamar?,"Tidak bisa kak, kapasitas kamar hanya untuk 1 orang.","dua orang,berdua,share kamar,pasangan,teman sekamar",FALSE,FALSE
faq_039,harga,Berapa harga kamar mandi dalam?,"Harga kamar mandi dalam tergantung lokasi. Untuk harga per rumah yang tersedia, sistem akan mengecek data rooms_public terbaru ya kak.","kamar mandi dalam,harga kamar mandi dalam,1.5 juta,1500000",TRUE,FALSE
faq_040,harga,Berapa harga kamar mandi luar?,"Harga kamar mandi luar tergantung lokasi. Untuk harga per rumah yang tersedia, sistem akan mengecek data rooms_public terbaru ya kak.","kamar mandi luar,harga kamar mandi luar,1 juta,1000000",TRUE,FALSE
faq_041,harga,Berapa harga kamar AC?,"Semua kamar sudah ada AC, kak. Harga tergantung tipe kamar dan lokasi. Untuk harga kamar yang tersedia, sistem akan mengecek data rooms_public terbaru.","kamar AC,harga kamar AC,AC berapa,kamar ber-AC,harga AC,sewa kamar AC",TRUE,FALSE
FAQ_PARKING_001,Fasilitas,Ada parkir motor?,"Ya kak, semua lokasi menyediakan parkir motor untuk penghuni.","parkir,parkir motor,motor,parking,kendaraan",FALSE,FALSE
FAQ_PARKING_002,Fasilitas,Ada parkir mobil?,Parkir mobil hanya tersedia di Pinus Hijau 3 No. 7 dengan biaya tambahan Rp200.000/bulan.,"parkir,parkir mobil,mobil,parking,pinus hijau 3 no 7,biaya parkir",FALSE,FALSE
FAQ_PARKING_003,Fasilitas,Berapa biaya parkir mobil?,Biaya parkir mobil sebesar Rp200.000/bulan dan hanya tersedia di Pinus Hijau 3 No. 7.,"biaya parkir mobil,harga parkir mobil,parkir mobil,200000,200 ribu,pinus hijau 3 no 7",FALSE,FALSE
FAQ_PARKING_004,Fasilitas,Kalau di kost lain bisa parkir mobil?,Untuk lokasi selain Pinus Hijau 3 No. 7 belum tersedia parkir mobil. Mobil dapat diparkir di pinggir jalan selama tidak parkir di depan rumah tetangga.,"parkir mobil,kost lain,selain pinus hijau,pinggir jalan,depan rumah tetangga",FALSE,FALSE
FAQ_PARKING_005,Fasilitas,Boleh parkir di jalan?,"Boleh kak, selama tidak parkir di depan rumah tetangga agar tidak mengganggu warga sekitar.","parkir di jalan,pinggir jalan,parkir,rumah tetangga,warga",FALSE,FALSE
FAQ_PARKING_006,Fasilitas,Parkir mobil di Lippo ada?,"Untuk area Lippo, parkir mobil hanya tersedia di Pinus Hijau 3 No. 7 dengan biaya Rp200.000/bulan.","parkir mobil lippo,lippo,pinus hijau 3 no 7,biaya parkir,200000",FALSE,FALSE
FAQ_PARKING_007,Fasilitas,Parkir mobil di Katalia ada?,"Maaf kak, Katalia tidak menyediakan parkir mobil. Mobil dapat diparkir di pinggir jalan selama tidak di depan rumah tetangga.","parkir mobil katalia,katalia,parkir mobil,pinggir jalan,rumah tetangga",FALSE,FALSE
FAQ_RULES_001,aturan_tamu,Apakah ini kost bebas seperti Texas atau Vegas?,"Bukan kost bebas ya kak. Di semua lokasi Kost.cornerhouz, pasangan atau lawan jenis tidak boleh masuk kamar dan tidak boleh menginap. Tamu hanya boleh bertamu di ruang tamu/area tamu sampai maksimal pukul 21.00.","kost bebas,texas,vegas,bawa pasangan,bawa pacar,pasangan,lawan jenis,pacar boleh masuk kamar,pacar menginap",FALSE,FALSE
FAQ_RULES_002,aturan,Apakah ada kost khusus putri?,"Ada kak. Untuk kost putri, pilihannya tersedia di Pinus Hijau 3 No. 7 dan Katalia. Ketersediaan kamar tetap mengikuti data kamar kosong terbaru ya kak.","kost putri,kos putri,khusus putri,putri,perempuan,cewek,wanita,pinus hijau 3 no 7,katalia",FALSE,FALSE
FAQ_FACILITY_ROOM_001,fasilitas,Apa saja fasilitas yang sudah termasuk di dalam kamar?,"Setiap kamar sudah dilengkapi AC, meja, kursi, kasur, dipan, dan lemari ya kak. Untuk perabot tambahan, penghuni tidak boleh membawa perabot sendiri.","fasilitas kamar,fasilitas kamarnya,kamar termasuk apa,isi kamar,perlengkapan kamar,perabot sendiri,bawa perabot,bawa furniture,bawa furnitur,meja,kursi,kasur,dipan,lemari,ac",FALSE,FALSE
